,Name,Rating,Reviews,Head_Quarters,No_of_Jobs
100,HSBC Group,3.8,6k,Financial Services | Bengaluru +63 other locations,44.5k
101,Piramal Finance,4.2,6k,NBFC | Mumbai +427 other locations,12.3k
102,Indiamart Intermesh,3.5,5.9k,Internet | Noida +169 other locations,21.8k
103,SMFG India Credit,3.9,5.9k,NBFC | Mumbai +601 other locations,11k
104,Access Healthcare,3.7,5.9k,BPO | Chennai +62 other locations,29.4k
105,BigBasket,3.9,5.8k,Internet | Bengaluru +143 other locations,19.5k
106,Siemens,3.9,5.8k,Industrial Automation | Bengaluru +155 other locations,34.6k
107,Aurobindo Pharma,4.0,5.8k,Pharma | Hyderabad +115 other locations,20.6k
108,ICICI Lombard General Insurance Company,3.5,5.8k,Insurance | Mumbai +320 other locations,20.1k
109,GlobalLogic,3.5,5.7k,IT Services & Consulting | Hyderabad +61 other locations,41.4k
110,Manappuram Finance,3.9,5.7k,NBFC | Bengaluru +660 other locations,9.1k
111,Firstsource Solutions,3.5,5.7k,BPO | Bengaluru +74 other locations,24.7k
112,Tata Capital,4.0,5.7k,NBFC | Mumbai +449 other locations,16.1k
113,Udaan,3.9,5.7k,Internet | Bengaluru +366 other locations,15.5k
114,Standard Chartered,3.6,5.7k,Banking | Chennai +68 other locations,42.4k
115,Shapoorji Pallonji Group,4.1,5.7k,Engineering & Construction | Mumbai +189 other locations,15.6k
116,UST,3.7,5.7k,IT Services & Consulting | Bengaluru +52 other locations,40.1k
117,Apollo Hospitals,4.0,5.6k,Healthcare | Chennai +225 other locations,16.8k
118,Bosch Global Software Technologies,3.7,5.6k,IT Services & Consulting | Bengaluru +47 other locations,41.1k
119,Mahindra Finance,3.9,5.6k,NBFC | Mumbai +736 other locations,12.3k
